MacBook-Air-Maxim:module_08 kme$ docker-compose logs -t
Attaching to service_main, service_presentation, service_author
service_main            | 2023-05-21T20:49:48.998129811Z     return session.request(method=method, url=url, **kwargs)
service_main            | 2023-05-21T20:49:48.998135296Z   File "/usr/local/lib/python3.10/dist-packages/requests/sessions.py", line 587, in request
service_main            | 2023-05-21T20:49:48.998140624Z     resp = self.send(prep, **send_kwargs)
service_main            | 2023-05-21T20:49:48.998146039Z   File "/usr/local/lib/python3.10/dist-packages/requests/sessions.py", line 701, in send
service_main            | 2023-05-21T20:49:48.998198792Z     r = adapter.send(request, **kwargs)
service_main            | 2023-05-21T20:49:48.998205758Z   File "/usr/local/lib/python3.10/dist-packages/requests/adapters.py", line 565, in send
service_main            | 2023-05-21T20:49:48.998660924Z     raise ConnectionError(e, request=request)
service_main            | 2023-05-21T20:49:48.998782657Z requests.exceptions.ConnectionError: HTTPConnectionPool(host='service_author', port=8081): Max retries exceeded with url: /authors/1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa5c4a6eda0>: Failed to establish a new connection: [Errno -2] Name or service not known'))
service_main            | 2023-05-21T20:49:48.998796349Z 
service_main            | 2023-05-21T20:49:48.998801520Z During handling of the above exception, another exception occurred:
service_main            | 2023-05-21T20:49:48.998806620Z 
service_main            | 2023-05-21T20:49:48.998811392Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:48.998816581Z   File "/usr/lib/python3.10/logging/__init__.py", line 1100, in emit
service_main            | 2023-05-21T20:49:48.998821790Z     msg = self.format(record)
service_main            | 2023-05-21T20:49:48.998826635Z   File "/usr/lib/python3.10/logging/__init__.py", line 943, in format
service_main            | 2023-05-21T20:49:48.998831846Z     return fmt.format(record)
service_main            | 2023-05-21T20:49:48.998836758Z   File "/usr/lib/python3.10/logging/__init__.py", line 678, in format
service_main            | 2023-05-21T20:49:48.998841665Z     record.message = record.getMessage()
service_main            | 2023-05-21T20:49:48.998846529Z   File "/usr/lib/python3.10/logging/__init__.py", line 368, in getMessage
service_main            | 2023-05-21T20:49:48.998851346Z     msg = msg % self.args
service_main            | 2023-05-21T20:49:48.998856082Z TypeError: not all arguments converted during string formatting
service_main            | 2023-05-21T20:49:48.998861238Z Call stack:
service_main            | 2023-05-21T20:49:49.020433016Z   File "<string>", line 1, in <module>
service_main            | 2023-05-21T20:49:49.020688572Z   File "/usr/lib/python3.10/multiprocessing/spawn.py", line 116, in spawn_main
